Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000j4r6,7,"Friday, August 16, 2013 08:38:55 UTC",-41.7165,174.1104,4.7,11.40,39,"Cook Strait, New Zealand"
us,b000j4qy,3,"Friday, August 16, 2013 08:33:23 UTC",-10.3008,161.5468,4.5,95.50,19,"Solomon Islands"
ak,10782222,2,"Friday, August 16, 2013 08:18:37 UTC",55.8075,-160.5539,3.1,0.30,14,"Alaska Peninsula"
us,b000j5v6,6,"Friday, August 16, 2013 07:26:45 UTC",-41.7720,174.0959,4.3,12.20, 8,"Cook Strait, New Zealand"
us,b000j5v1,4,"Friday, August 16, 2013 07:23:15 UTC",-41.8786,174.2342,4.7,26.60, 0,"Cook Strait, New Zealand"
us,b000j4qq,6,"Friday, August 16, 2013 06:55:59 UTC",-41.6915,174.2836,4.9,11.20,44,"Cook Strait, New Zealand"
us,b000j5v0,2,"Friday, August 16, 2013 06:53:34 UTC",-41.6987,174.1436,4.4,18.50, 0,"Cook Strait, New Zealand"
us,b000j5td,5,"Friday, August 16, 2013 06:51:13 UTC",-20.1820,-70.6039,4.5,35.60,19,"offshore Tarapaca, Chile"
us,b000j5uy,4,"Friday, August 16, 2013 06:42:40 UTC",-41.6913,174.2889,4.6,20.10, 0,"Cook Strait, New Zealand"
ak,10782203,3,"Friday, August 16, 2013 06:27:07 UTC",52.3058,-170.0622,3.1,34.40,11,"Fox Islands, Aleutian Islands, Alaska"
us,b000j5uw,4,"Friday, August 16, 2013 06:23:23 UTC",-37.0714,176.7109,4.1,315.30, 0,"North Island of New Zealand"
us,b000j4qk,4,"Friday, August 16, 2013 06:15:55 UTC",-8.3691,108.9870,4.5,73.20,56,"Java, Indonesia"
us,b000j504,2,"Friday, August 16, 2013 05:58:27 UTC",-41.6686,174.1700,5.0,13.90,29,"Cook Strait, New Zealand"
us,b000j4p2,9,"Friday, August 16, 2013 05:57:52 UTC",-41.7053,174.2784,4.8,16.90,38,"Cook Strait, New Zealand"
us,b000j4n4,D,"Friday, August 16, 2013 05:31:16 UTC",-41.7541,174.2571,5.8,11.10,107,"Cook Strait, New Zealand"
us,b000j4te,4,"Friday, August 16, 2013 05:29:57 UTC",-2.8872,-78.6475,4.5,25.00, 0,"Ecuador"
us,b000j4n1,6,"Friday, August 16, 2013 05:26:40 UTC",-41.6761,174.0918,4.6,17.90,28,"Cook Strait, New Zealand"
us,b000j4mu,8,"Friday, August 16, 2013 05:17:41 UTC",-15.1711,-173.4007,4.9,23.00,47,"Tonga"
us,b000j4mj,5,"Friday, August 16, 2013 05:02:26 UTC",-41.6155,174.0095,4.2,5.10, 0,"Cook Strait, New Zealand"
ci,11351394,6,"Friday, August 16, 2013 03:53:36 UTC",33.1852,-115.9733,3.2,2.50,74,"Southern California"
us,b000j4lh,A,"Friday, August 16, 2013 03:51:34 UTC",-41.7712,174.1844,5.1,10.30,27,"Cook Strait, New Zealand"
us,b000j4l3,5,"Friday, August 16, 2013 03:26:50 UTC",-41.6300,174.3600,4.7,21.00, 0,"Cook Strait, New Zealand"
us,b000j4ku,6,"Friday, August 16, 2013 03:21:31 UTC",-41.7800,174.0600,5.0,17.00, 0,"Cook Strait, New Zealand"
ak,10782078,2,"Friday, August 16, 2013 03:17:48 UTC",56.9062,-152.8390,2.5,10.60,13,"Kodiak Island region, Alaska"
ak,10782079,2,"Friday, August 16, 2013 03:14:02 UTC",56.8548,-152.8429,2.5,3.90,13,"Kodiak Island region, Alaska"
us,b000j4kk,9,"Friday, August 16, 2013 03:09:10 UTC",-41.8357,173.8821,5.9,10.00,16,"South Island of New Zealand"
ak,10782024,2,"Friday, August 16, 2013 03:01:07 UTC",58.8794,-154.4071,2.7,124.90,67,"Alaska Peninsula"
us,b000j4jx,B,"Friday, August 16, 2013 02:56:26 UTC",-41.7011,174.2826,4.8,13.00,55,"Cook Strait, New Zealand"
us,b000j4j6,6,"Friday, August 16, 2013 02:45:27 UTC",-41.8007,174.0989,5.5,9.10,74,"Cook Strait, New Zealand"
us,b000j4yq,4,"Friday, August 16, 2013 02:37:28 UTC",-41.7149,174.0945,5.4,2.40,84,"Cook Strait, New Zealand"
us,b000j4iz,B,"Friday, August 16, 2013 02:31:07 UTC",-41.7668,174.0609,6.5,10.00,24,"Cook Strait, New Zealand"
us,b000j4is,4,"Friday, August 16, 2013 01:53:30 UTC",-7.7996,117.5777,4.1,264.40,17,"Bali Sea"
us,b000j4ia,7,"Friday, August 16, 2013 00:56:39 UTC",13.6241,-91.6319,4.8,35.00,197,"offshore Guatemala"
ak,10784345,2,"Thursday, August 15, 2013 23:08:43 UTC",52.2190,-174.2314,2.9,157.80,14,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j4gm,5,"Thursday, August 15, 2013 23:06:48 UTC",37.9518,15.1524,4.3,10.00,60,"Sicily, Italy"
us,b000j4gh,5,"Thursday, August 15, 2013 23:04:57 UTC",38.1282,15.0424,4.6,10.10,87,"Sicily, Italy"
ak,10781719,2,"Thursday, August 15, 2013 22:50:49 UTC",61.8206,-152.0360,2.9,106.40,82,"Southern Alaska"
uu,60033587,4,"Thursday, August 15, 2013 22:11:27 UTC",37.5202,-112.3087,2.5,6.80,18,"Utah"
nc,72050016,3,"Thursday, August 15, 2013 21:25:10 UTC",38.8217,-122.7617,2.7,2.30,90,"Northern California"
hv,60523662,6,"Thursday, August 15, 2013 20:31:39 UTC",19.2962,-155.7967,2.5,12.90,30,"Island of Hawaii, Hawaii"
us,b000j43q,8,"Thursday, August 15, 2013 18:54:49 UTC",-1.2652,121.3307,5.0,49.90,58,"Sulawesi, Indonesia"
us,b000j43a,7,"Thursday, August 15, 2013 18:45:46 UTC",-10.0897,118.7263,4.7,48.50,47,"south of Sumbawa, Indonesia"
pr,13227008,0,"Thursday, August 15, 2013 17:33:22 UTC",18.8915,-64.9664,2.9,48.00,12,"Virgin Islands region"
pr,13227007,0,"Thursday, August 15, 2013 17:28:35 UTC",18.4139,-64.8535,3.1,87.00, 3,"Virgin Islands region"
us,b000j3xu,6,"Thursday, August 15, 2013 16:51:35 UTC",10.9627,95.0283,4.7,23.30,70,"Andaman Islands, India region"
us,b000j3uy,6,"Thursday, August 15, 2013 15:26:18 UTC",-5.5020,151.6979,5.1,73.30,177,"New Britain region, Papua New Guinea"
